action,효능,
명상,"부교감신경을 활성화함으로써 긴장된 몸을 이완상태로 유도한다. 심신이 안정되고 편안해지는 것이다. 근육은 이완되고 심장박동과 뇌파는 안정적으로 동기화되며 몸의 산소공급이 원활해지면서 안정을 되찾게 된다. 스트레스, 걱정, 불안을 떨쳐내는데 신경의 안정이 필수적이다.",
명상,명상을 하면 대뇌피질을 활동이 억제되고 안정화된다. 이 의미는 집념과 감정적 동요에서 벗어나 안정적인 상태가 되었음을 의미한다.,
명상,명상을 하면 알파파와 세타파가 나와서 편안한 이완상태를 만든다. 이 상태는 면역력이 강화되고 보다 창의적인 생각이 폭발하고 통찰력과 기억력이 증가된다.,
산책,"자리에 가만히 앉아있을 때보단 걸어 다닐 때 많은 풍경과 사람, 사물을 스쳐지나가게 된다. 뇌가 좀 더 지속적인 자극을 받을 수 있다는 의미다. 이런 자극은 창의성을 향상시켜 책상 앞에 앉아 해결하지 못한 문제를 푸는 긍정적인 결과를 낳는다. 회의를 할 때도 서서하면 좀 더 획기적인 아이디어가 쏟아진다는 연구보고가 있다",
산책,산책을 꾸준히 하면 고관절의 움직임이 좋아져 유연성과 기동성이 향상된다. 또 걷기는 근육에 있는 젖산을 분해해 더욱 단단한 근육을 형성할 수 있도록 돕는다.,
산책,특별한 이유 없이 마음이 허전하고 우울할 때도 있다. 이럴 땐 산책이 기분전환을 할 수 있는 가장 단순하면서도 효과적인 방법이다. 15분 정도 걷고 나면 스트레스가 해소되고 기분이 전환되는 걸 느낄 수 있다.,
등산,"등산을 하면 심장의 용적은 커지며 탄력성이 증가해서 혈관이 깨끗해지고, 세포에서 산소를 이용하는 효율 역시 높아진다.",
등산, 주된 거주지가 도심 속이나 그 외곽지역이 되면서 좀처럼 맑은 공기를 마실 기회가 줄어들었다. 그만큼 우리 몸의 폐는 그 기능이 떨어지고 정신적으로 어려운 상활에 처하게 되었다. 이럴 때 산속으로 가서 30분 정도만이라도 걸어보자. 숨 쉬는 것이 상쾌해지고 몸속이 정화되는 느낌을 자연스럽게 받게 된다. 이는 우거진 나무속의 피톤치드 성분과 산소포화도가 높음으로 인해 폐 속이 안정이 되고 정신도 맑아지는 것이다.,
등산," 등산이 심폐기능을 향상시키는 데는 다 이유가 있다. 달리기는 속도와 경사에 따라서 호흡의 크기와 횟수가 달라지나, 등산은 산을 오르든 내려가든 호흡이 일정하다. 이와 같은 일정한 호흡운동은 우리의 심폐기능을 크게 향상시켜준다.",
등산,"숲이 내뿜는 피톤치드와 테르펜은 유해균을 죽여주며, 노폐물을 배출시켜주고, 신진대사를 원활하도록 하며, 긴장감을 풀어준다. ",
샤워,"온열로 혈관이 확장돼 혈액 순환이 촉진되고, 내장과 근육에 공급되는 산소와 영양이 늘어남에 따라 몸속의 노폐물 배출이 원활해진다.",
샤워,"피부의 기름샘, 땀샘 등 분비선의 오염을 없애고, 피부의 노폐물 배설을 촉진한다. 이에 따라 피부와 폐의 호흡이 활발해지고, 호흡기 질환 등의 개선과 질병 예방에 도움을 준다.",
수영,"수영은 어느 한 부위만 운동이 되는 것이 아니라 몸 전체를 골고루 움직인다는 점에서 신체를 효율적으로 활용할 수 있다. 수영은 부력을 이용하여 허리, 관절에 무리를 주지 않아 관절염이 있거나 노화로 뼈가 약해진 사람도 몸에 큰 충격을 가하지 않으면서 강도 높은 운동 효과를 볼 수 있다. ",
수영,수영은 밤에 잠을 더 잘 수 있도록 도와주는 힘이 있을지도 모른다. 연구에서불면증이 있는 노인에 대한 믿을만한 소식통으로 참가자들은 규칙적인 유산소 운동을 한 후 삶의 질과 수면이 모두 향상되었다고 보고했다.,
조깅,"달리기는 전신을 사용하는 유산소 운동으로 , 달리기 하나로도 체지방이 감소 되는것을 확인할 수 있다. 심폐기능이 향상되어 , 온몸에 산소를 빠르게 흡수 시킬 수 있게 된다. 산소가 많이 들어올수록 에너지를 얻게 되기 때문에 몸에도 건강도 좋아지게 된다. ",
조깅,순환이 활성화되니 땀이나 소변으로 유해물질 배설이 용이해진다. 꾸준한 달리기는 끊임없이 변화하고 진화하는 바이러스나 박테리아의 공격으로부터 우리의 몸을 굳건하게 지킬 수 있는 방어벽을 만들어준다.,
자전거타기,"페달을 돌리는 하체 근육이 반복적으로 수축, 이완되기 때문에 근섬유를 구성하는 단백질이 증가해 근육의 굵기가 굵어져 글리코겐 등 많은 에너지원을 저장할 수 있게 된다. 그래서 자전거는 당뇨병이나 비만 같은 만성질환 예방을 위한 운동으로도 적합하다.",
자전거타기,자전거는 체중이 분산돼 무릎관절에 무리가 가지 않아 관절염 예방은 물론 비만환자의 체중 조절에도 탁월한 효과가 있다,
자전거타기,전거 타기는 다리를 움직이면서 대퇴부나 허리 근력을 키울 수 있고 팔과 배 등에도 운동 효과가 있다.,
자전거타기,"자전거를 타면 심장과 온몸의 혈액 이동이 원활해지면서 영양물질과 산소 공급이 좋아지고 노폐물과 이산화탄소 제거가 빨라진다""며 ""이는 순환기계통 기능 향상으로 이어진다",
요가,매일 몇 분 동안 꾸준히 요가를 하면 바쁜 일상 생활에 필요한 에너지가 많이 공급되고 더 오래 신선하게 유지됩니다. 신체와 호흡 작용의 독특한 시너지 효과가 있는 요가는 우리 몸의 생명 에너지를 증가시키고 유지시키는데 탁월한 효과가 있습니다.,
요가,"매일  꾸준한 요가는 자세를 향상시켜 키가 커지고 책상에 똑바로 앉도록 도와주며, 허리 통증과 같은 잘못된 신체 자세로 인한 통증을 완화 하고, 디스크 같은 질병을 예방 할 수 있습니다.",
요가,요가를 수련할때는 호흡에 집중해야 한다. 그래야만 뇌에 산소가 공급되고 올바른 동작을 할 수 있기 때문이다. 요가 동작을 할때는 복부로 호흡을 히야 한다. 그래야 몸의 균형을 유지할 수 있을 뿐만 아니라 자세에 힘을 주어 유지할 수 있다. 숨을 코로 깊에 들이마시면 폐가 늘어나고 이는 폐 건강에 도움이 될 뿐만 아니라 마음과 정신을 맑게 만들어주고 건강을 유지하는데도 도움이 된다,
스트레칭," 근육에 공급되는 영양 공급량이 증가하기 때문에 손상된 근육과 관절의 회복 과정을 빠르게 하는 데 효과를 볼 수 있습니다. 또한, 햄스트링, 둔근, 골반의 유연성을 높이면, 척추에 가해지는 스트레스를 줄일 수 있기 때문에 요통을 감소시킬 수 있습니다. ",
스트레칭, 근육을 부드럽게 풀게 되면 신진 대사가 활성화되고 혈액의 흐름을 촉진시켜 근육 자체에 탄력성이 생기게 됩니다. 또한 근육의 피로를 줄여 회복을 촉진시키기도 합니다.,
여행,"여행은 듣도 보도 못한 신기한 음식을 먹어보고, 그나라의 전통문화체험을 해보는 등 가보지 못했던 새로운 곳에서 먹고보고 즐기는 모든것이 새롭고 흥미로울것 입니다. 이것이 바로 여행의 묘미이며 그동안 알지못했던 새로운 것을 경험할 수있는 소중한기회이기도 합니다.",
여행,"여행은 끊임없이 도전해야하는 모험의 여정입니다. 여행을 하면 주로 낯선것들로 가득한 새로운 환경에서 지내게됩니다.  살던 곳과는 사뭇 다른환경에서 지내면서 익숙하지 않았던 내면의 모습과 마주하기도 하고, 낯선사람들과 함께시간을 보내며 내재되어있던 자신의 새로운능력이나 결점을발 견하기도 합니다.",
여행,"독일의 문학가 괴퇴는‘ 영리한 사람은 여행중에 최고의 교훈을 얻는다’고 했습니다. 우리는 학교에서 많은 것을 배우기는 하지만, 학교에서 배우는 것과는 또 다른것들을 직접보고 경험하면서 더욱 더 빨리 다양한 것을 배울 수 있습니다. 여행중에 얻는 교육은 교과서, 선생님 혹은 부모님으로 부터의배움이 아니라 자신만의 방법으로 스스로 터득하는 깨달음입니다.  ",
