음식,효능
감,스트레스를 완화하고 혈관을 청소하며 피부미용에 좋다
밤,소화를 돕고 변비를 개선하고 뼈를 튼튼히 하며 뇌 건강을 돕는다
김,소화를 돕고 노화를 방지하며 심혈관 건강에 도움이 되다
미나리,해독 작용을 하며 혈액을 정화하고 변비를 개선한다
토마토,피로 회복에 좋고 스트레스를 해소하고 에너지를 증진시킨다
참외,피로 회복에 좋고 수분을 공급하며 암 예방에 도움이 된다
딸기,심혈관 건강에 도움이 되고 염증을 완화하며 기억력에 도움을 준다
미역,노폐물을 배출하며 변비를 개선하고 뼈를 튼튼하게 한다
석류,피부 노화를 방지하며 혈액 순환을 돕고 스트레스를 완화한다
귤,피부 미용에 좋고 변비를 개선하며 스트레스를 해소한다
고구마,에너지 보충 및 피로 회복에 도움이 되고 변비를 예방한다
배,열을 내려주고 가래와 기침을 안정시키며 소화에 도움을 준다
마늘,소화력을 개선하고 혈압을 낮추며 면역력을 증진한다
포도,혈관을 청소하고 소화를 촉진하고 피로 회복과 변비 해소에 좋다
사과,혈액 순환과 피로 회복에 좋고 장을 튼튼하게 한다
깻잎,항암 효과가 있고 피부 미용에 좋고 독소를 배출한다
유자,감기를 예방하고 피로 회복에 좋고 항암 효과가 있다
수박,혈압을 낮추고 혈액 순환을 돕고 수분과 에너지를 공급한다
천도 복숭아,신경을 안정시키고 불안감을 해소하며 숙면을 돕는다
살구,염증과 노화를 방지하며 혈액 순환에 도움을 준다
모과,기관지와 폐를 튼튼하게 하며 위장를 편하게 한다
앵두,혈관 내 노폐물을 배출히거 피로 회복에 좋다
된장,혈액 순환을 돕고 뼈를 튼튼하게 하며 간 기능을 개선한다
김치,장을 튼튼하게 하고 빈혈을 예방하며 노화를 억제한다
우엉,식욕을 억제하며 혈액을 정화하며 관절 건강에 도움을 준다
연근,혈액순환과 장 운동을 돕고 피로를 회복하고 면역력을 강화한다
오징어,피로 회복에 좋고 혈류 순환을 개선하고 혈관 질환을 예방한다
상추,불안감을 해소하고 불면증 개선하며 혈액 순환을 개선한다
콩나물,숙취 해소와 피로 회복에 좋고 빈혈을 예방한다
무,소화를 촉진하고 기침에 효과가 있으며 신장 기능을 개선한다
옥수수,심혈관 질환을 예방하고 변비를 개선하고 노폐물을 제거한다
감자,체중관리와 피부 미용에 좋고 빈혈과 변비를 예방한다
쑥,피로 회복에 좋고 혈압을 낮추고 노화를 예방한다
어묵,근육 형성에 도움을 주고 혈관과 뼈를 튼튼히 한다
검은콩,신장 기능을 개선하고 혈관 건강과 시력 회복에 도움을 준다
풋고추,피로 회복에 좋고 치매를 예방하고 위 건강에 도움을 준다
새싹쌈,에니지와 활력을 증진하고 피로회복과 해독에 도움을 준다
참기름,심혈관 질환을 예방하고 숙취를 해소하고 노화를 방지한다
간장,근육을 생성하고 혈관 질환을 예방하고 해독 작용을 한다
고추장,장 건강을 돕고 노폐물 배설을 촉진하며 스트레스를 해소한다
