action,효능
명상,명상은 긴장된 몸을 이완시킨다. 몸과 마음을 안정시키고 편안하게 만든다.
명상,명상은 집념과 감정적 동요에서 벗어나 안정적인 상태로 만든다.
명상,"명상은 신체를 이완시키면서 면역력이 강화되고, 창의적으로 만든다."
산책,"산책을 하면서 많은 경험을 하게된다. 이로 인해서 뇌에 더 많은 자극이 오게되고, 창의적으로 만든다."
산책,"신체를 자주 움직임으로써 유연성, 기동성과 근력이 향상된다. "
산책,산책은 새로운 경험을 통해서 기분을 상쾌하게 만들 수 있다.
등산,등산은 운동을 통해서 심장을 많이 쓰게되고 이로 인해서 혈관안의 노폐물이 없어진다.
등산,"등산은 도시에서 벗어나 신선한 공기를 마신다. 신선한 공기는 폐를 좋아지게하고, 산 속의 피톤치드의 영향으로 면역력이 좋아진다."
등산,"등산은 호흡운동을 하는데, 호흡 운동은 심폐기능을 좋게 만든다."
샤워,"샤워는 뜨거운 물을 사용해서 혈액순환이 촉진되고, 이로 인해서 몸속의 노폐물 배출이 원활해진다."
샤워,피부의 노폐물을 제거해서 오염을 없앤다.
수영,수영은 신체 전부를 운동을 해서 신체 기능을 향상시킨다. 부력을 이용해서 관절에 부담이 없이 운동을 할 수 있다.
수영,수영은 격력한 운동 후 취짐을 도와준다.
조깅,조깅은 체지방 감소에 도움을 준다. 심폐기능을 향상시킨다.
조깅,조깅은 격렬한 운동으로 노폐물의 배출을 돕는다
자전거타기,자전거 타기는 하체 근육을 반복적으로 운동하기 때문에 하체의 근육 발달을 도와준다. 하체 뿐만 아니라 허리 근력과 팔과 배 등 전신에 운동이 된다.
자전거타기,자전거 타기는 심장과 혈액 이동이 원활해지면서 노폐물과 이산화탄소가 제거됨으로써 순환기능의 향상으로 이루어진다.
요가,요가는 생활에 필요한 에너지를 공급해줘서 신체를 건강하게 해준다.
요가,요가는 자세를 올바르게 만들어서 자세로 인한 통증을 완화시켜준다.
스트레칭,스트레칭은 근육에 에너지를 많이 주기 때문에 근육 및 관절에 회복에 도움을 준다. 신체를 움직이면서 유연성을 증가시켜준다.
스트레칭,스트레칭은 근육이 부드러워져서 혈액의 흐름을 촉진시킨다.
여행,여행은 새로운 경험을 통해서 새로운 시각을 얻게 된다. 
여행,여행은 새로운 도전의 연속입니다. 나에 대해서 새로운 능력이나 결점을 발견 할 수도 있습니다.
