,action,효능,tokenized
0,명상,명상은 긴장된 몸을 이완시킨다. 몸과 마음을 안정시키고 편안하게 만든다.,"['명', '##상은', '긴장', '##된', '몸을', '이완', '##시킨다', '.', '몸과', '마음을', '안정', '##시키고', '편안하게', '만든다', '.']"
1,명상,명상은 집념과 감정적 동요에서 벗어나 안정적인 상태로 만든다.,"['명', '##상은', '집', '##념', '##과', '감정', '##적', '동요', '##에서', '벗어나', '안정적인', '상태로', '만든다', '.']"
2,명상,"명상은 신체를 이완시키면서 면역력이 강화되고, 창의적으로 만든다.","['명', '##상은', '신체', '##를', '이완', '##시키면서', '면역력이', '강화', '##되고', ',', '창의', '##적으로', '만든다', '.']"
3,산책,"산책을 하면서 많은 경험을 하게된다. 이로 인해서 뇌에 더 많은 자극이 오게되고, 창의적으로 만든다.","['산책을', '하면서', '많은', '경험을', '하게', '##된다', '.', '이로', '인해서', '뇌', '##에', '더', '많은', '자극이', '오게', '##되고', ',', '창의', '##적으로', '만든다', '.']"
4,산책,"신체를 자주 움직임으로써 유연성, 기동성과 근력이 향상된다. ","['신체', '##를', '자주', '움직임', '##으로써', '유연', '##성', ',', '기동', '##성과', '근력', '##이', '향상', '##된다', '.']"
5,산책,산책은 새로운 경험을 통해서 기분을 상쾌하게 만들 수 있다.,"['산책', '##은', '새로운', '경험을', '통해서', '기분을', '상쾌', '##하게', '만들', '수', '있다', '.']"
6,등산,등산은 운동을 통해서 심장을 많이 쓰게되고 이로 인해서 혈관안의 노폐물이 없어진다.,"['등산', '##은', '운동을', '통해서', '심장', '##을', '많이', '쓰게', '##되고', '이로', '인해서', '혈관', '##안의', '노폐물', '##이', '없어진', '##다', '.']"
7,등산,"등산은 도시에서 벗어나 신선한 공기를 마신다. 신선한 공기는 폐를 좋아지게하고, 산 속의 피톤치드의 영향으로 면역력이 좋아진다.","['등산', '##은', '도시', '##에서', '벗어나', '신선한', '공기를', '마신', '##다', '.', '신선한', '공기', '##는', '폐', '##를', '좋아지', '##게', '##하고', ',', '산', '속의', '피톤치드', '##의', '영향으로', '면역력이', '좋아진', '##다', '.']"
8,등산,"등산은 호흡운동을 하는데, 호흡 운동은 심폐기능을 좋게 만든다.","['등산', '##은', '호흡', '##운동을', '하는데', ',', '호흡', '운동은', '심', '##폐기', '##능', '##을', '좋게', '만든다', '.']"
9,샤워,"샤워는 뜨거운 물을 사용해서 혈액순환이 촉진되고, 이로 인해서 몸속의 노폐물 배출이 원활해진다.","['샤워', '##는', '뜨거운', '물을', '사용해서', '혈액순환', '##이', '촉진', '##되고', ',', '이로', '인해서', '몸', '##속의', '노폐물', '배출', '##이', '원활', '##해진다', '.']"
